generation,height,parentVariety,influence,chaos,mutability,range,totalInfluenceWeight,cantAttributes,totalSeeds,totalCalories,foodAmount,leftSeeds
0,20,Dark Potato,1,0,0,0.5631351470947266,0.2,0,3,3374.374049512792,28,29
1,90,Dark Potato,0.5000038045440256,0.4999961954559744,0,18.201207771265675,0.2363636363636364,1,2,4179.392451644437,33,34
2,90,White Potato,0.6937579456603151,0.3062420543396849,0.07309320300036054,12.912288356916571,0.03636363636363637,1,4,6475.229364286338,45,43
3,90,Red Potato,0.3473973703746848,0.6526026296253151,0.23138114390020756,26.497006333926063,0.2,1,2,6817.085072596404,48,46
4,90,White Potato,0.6042608326085637,0.39573916739143633,0.3368781607481093,20.084369760033816,0.03636363636363637,1,4,9276.962646035683,60,54
5,90,White Potato,0.7458532985572448,0.2541467014427552,0.3368781607481093,9.628801476972946,0,1,5,15939.89004687362,91,74
6,90,White Potato,0.7922917046845628,0.20770829531543722,0.3368781607481093,3.892851274369271,0,1,4,25007.28700667576,136,98
7,90,White Potato,0.8281256418789078,0.1718743581210922,0.3368781607481093,2.0064246941622983,0,1,6,33404.1567884636,176,118
8,90,White Potato,0.8256221929465684,0.17437780705343164,0.3368781607481093,1.0941525729310746,0,1,5,46555.540649670016,238,149
9,90,White Potato,0.8260193003067308,0.17398069969326924,0.3368781607481093,0.8840197574596739,0,1,5,55740.79854732711,282,172
10,90,White Potato,0.8489689760258234,0.15103102397417656,0.3368781607481093,0.7102571570248248,0,1,5,65203.02426477465,328,195
11,90,White Potato,0.86607679471786,0.13392320528213997,0.3368781607481093,0.5844490268318172,0,1,5,75880.14908670311,378,220
12,90,White Potato,0.8526337873327124,0.14736621266728755,0.3368781607481093,0.6035357835247956,0,1,7,86646.34271280903,430,246
13,90,White Potato,0.8735343269586406,0.12646567304135936,0.3368781607481093,0.5100337446141806,0,1,5,101682.56355540652,502,282
14,90,White Potato,0.8700484008351896,0.12995159916481036,0.3368781607481093,0.5094283104017704,0,1,5,112027.43104143988,552,307
15,90,White Potato,0.8884947682010034,0.11150523179899663,0.3368781607481093,0.438652131896023,0,1,5,123759.95797966851,608,335
16,90,White Potato,0.8588553361765301,0.1411446638234699,0.3368781607481093,0.5336065544747153,0,1,4,134713.93984025114,660,361
17,90,White Potato,0.8410948250568203,0.15890517494317968,0.3368781607481093,0.6261637550493899,0,1,6,141982.33650387515,696,379
18,90,White Potato,0.8558473670434377,0.14415263295656233,0.3368781607481093,0.6001580580248786,0,1,6,153636.53870013173,752,407
19,90,White Potato,0.8808972446914134,0.1191027553085866,0.3368781607481093,0.483695531787498,0,1,5,167124.09600186476,816,439
20,90,White Potato,0.8703485001217933,0.12965149987820668,0.3368781607481093,0.5005136879141115,0,1,6,178931.2661698553,872,467
21,90,White Potato,0.8635586209537975,0.13644137904620246,0.3368781607481093,0.5356687670146386,0,1,5,192395.88070992942,936,499
22,90,White Potato,0.8821931658921354,0.11780683410786463,0.3368781607481093,0.46971340659227717,0,1,4,203632.06075493534,988,525
23,90,White Potato,0.8743207030858647,0.12567929691413526,0.3368781607481093,0.4795669130907661,0,1,7,213033.49162787638,1034,548
24,90,White Potato,0.8874441417886243,0.1125558582113757,0.3368781607481093,0.4268356303036209,0,0,5,229132.91619575498,1110,586
25,90,White Potato,0.8833542782013517,0.1166457217986483,0.3368781607481093,0.43406669475253584,0,1,7,240726.65698415696,1164,613
26,90,White Potato,0.8864838243726298,0.11351617562737015,0.3368781607481093,0.42305447951778563,0,1,4,257985.57815521464,1244,653
27,90,White Potato,0.8946375667043667,0.10536243329563333,0.3368781607481093,0.3954904752991424,0,1,6,266655.7431278016,1286,674
